x0; a; b; f_calls
-32.2892; -7.66025; 24.3759; 22
-89.2288; -32.5638; 39.5175; 26
-5.15516; -2.78016; 1.43859; 12
63.3815; 62.1315; 63.3815; 8
-36.4469; -11.818; 20.2182; 22
-80.5597; -23.8946; 48.1867; 26
-90.7689; -34.1038; 37.9775; 26
-84.2865; -27.6215; 44.4598; 26
-34.839; -10.2101; 21.8261; 22
79.6852; 55.0563; 69.2946; 20
-0.738413; -0.738413; 0.511587; 6
-79.0701; -22.4051; 49.6762; 26
66.6257; 60.032; 64.2507; 14
-3.60539; -1.23039; 2.98836; 12
-71.2946; 14.203; 122.325; 28
57.3545; 61.417; 67.7451; 14
4.54211; -2.05164; 2.16711; 14
-52.7096; -15.2663; 32.7879; 24
52.9691; 59.5629; 69.0551; 16
49.2806; 59.6713; 73.9096; 18
91.4811; 54.0377; 75.3952; 22
1.23233; -1.14267; 0.732332; 10
67.5491; 60.9554; 65.1741; 14
11.0168; -5.06912; 4.42306; 18
23.9345; -13.5088; 7.84861; 22
-3.8847; -1.5097; 2.70905; 12
-56.4442; -19.0008; 29.0534; 24
75.6025; 59.5165; 69.0087; 18
39.5936; -17.0715; 14.9647; 24
-93.9183; -37.2533; 34.828; 26
-68.0613; -30.618; 17.4362; 24
-95.8323; -39.1672; 32.9141; 26
-31.6341; -7.00516; 25.031; 22
20.4047; -17.0387; 4.31876; 22
38.4787; -18.1863; 13.8498; 24
-88.4547; -31.7896; 40.2917; 26
-40.4277; -15.7988; 16.2373; 22
50.7129; 57.3067; 66.7989; 16
-66.397; -28.9536; 19.1006; 24
75.9141; 59.8282; 69.3204; 18
-83.706; -27.041; 45.0403; 26
-71.3414; 14.1562; 122.278; 28
-64.9036; -27.4603; 20.5939; 24
-49.9943; -12.551; 35.5032; 24
0.28688; -0.96312; 0.28688; 8
32.6225; -24.0426; 7.99355; 24
-78.7521; 6.74549; 114.867; 28
-12.0228; -5.42902; 4.06317; 16
-27.5498; -11.4638; 9.89359; 20
-92.3318; -35.6667; 36.4146; 26
-80.8622; -24.1972; 47.8841; 26
1.47871; -0.896287; 0.978713; 10
50.6852; 57.279; 66.7712; 16
-5.97177; -1.90927; 4.41885; 14
48.8794; 59.27; 73.5083; 18
-85.9981; -29.333; 42.7483; 26
65.1765; 61.114; 63.9265; 12
37.1093; -19.5557; 12.4804; 24
53.3316; 59.9253; 69.4175; 16
-61.4649; -24.0216; 24.0326; 24
-49.6623; -12.2189; 35.8353; 24
-45.7945; -21.1656; 10.8706; 22
41.9539; -14.7112; 17.325; 24
70.7793; 60.3887; 66.7168; 16
35.2739; -21.3911; 10.645; 24
83.6638; 46.2205; 67.5779; 22
-51.9533; -14.5099; 33.5442; 24
99.792; 43.127; 75.1631; 24
30.9155; -6.52782; 14.8296; 22
-46.7464; -22.1175; 9.91863; 22
41.0453; -15.6197; 16.4164; 24
-71.3263; 14.1713; 122.293; 28
-16.852; -6.4614; 7.77688; 18
-70.5419; -33.0986; 14.9556; 24
-73.0483; 12.4493; 120.571; 28
-26.7853; -10.6994; 10.658; 20
99.3177; 42.6526; 74.6888; 24
85.2205; 47.7772; 69.1346; 22
-45.2428; -20.6139; 11.4223; 22
-0.966556; -0.466556; 1.40844; 8
27.3074; -10.136; 11.2214; 22
-51.7439; -14.3005; 33.7537; 24
15.0186; -9.61027; 4.62802; 20
13.1439; -2.94208; 6.55011; 18
73.0662; 56.9803; 66.4725; 18
-96.0495; -39.3845; 32.6968; 26
-9.49833; -2.90458; 6.58761; 16
-96.2085; -39.5434; 32.5379; 26
-98.8357; -42.1706; 29.9107; 26
78.7149; 54.086; 68.3242; 20
37.041; -19.6241; 12.4121; 24
73.304; 57.218; 66.7102; 18
81.2168; 56.5879; 70.8262; 20
-52.3046; -14.8612; 33.193; 24
-56.2579; -18.8145; 29.2397; 24
64.8842; 60.8217; 63.6342; 12
77.3111; 52.6822; 66.9204; 20
84.9325; 47.4891; 68.8466; 22
41.8236; -14.8415; 17.1947; 24
-1.62572; -1.12572; 0.749276; 8
