x0; a; b; f_calls
59.3086; 59.8086; 77.6836; 8
-63.313; -44.938; 495.781; 12
55.9382; 56.4382; 74.3132; 8
19.37; -82.1925; 16.12; 12
-10.8334; -7.58345; 90.7291; 10
-80.005; -61.63; 479.089; 12
-8.15022; -7.65022; 10.2248; 8
-33.2583; -14.8833; 525.835; 12
-71.4266; -53.0516; 487.667; 12
30.1777; -71.3848; 26.9277; 12
-88.7177; -70.3427; 470.376; 12
44.3998; -57.1627; 41.1498; 12
87.7105; -13.852; 84.4605; 12
-99.8442; -81.4692; 459.25; 12
98.4423; -460.651; 80.0673; 14
23.4963; -78.0662; 20.2463; 12
22.3306; -79.2319; 19.0806; 12
-98.5867; -80.2117; 460.507; 12
-95.3875; -77.0125; 463.706; 12
4.95493; -13.4201; 4.45493; 10
-20.0278; -16.7778; 81.5347; 10
-90.6669; -72.2919; 468.427; 12
94.7511; -464.343; 76.3761; 14
-53.4457; -50.1957; 48.1168; 10
-81.8787; -63.5037; 477.215; 12
23.6772; -77.8853; 20.4272; 12
-23.5076; -20.2576; 78.0549; 10
96.6462; -462.448; 78.2712; 14
-6.64742; -6.14742; 11.7276; 8
71.9881; 53.6131; 71.4881; 10
36.0615; -65.501; 32.8115; 12
-9.90015; -9.40015; 8.47485; 8
-97.347; -78.972; 461.747; 12
88.4404; -13.1221; 85.1904; 12
12.6576; -88.9049; 9.40764; 12
-22.9167; -19.6667; 78.6458; 10
-96.8067; -78.4317; 462.287; 12
-53.8212; -50.5712; 47.7413; 10
-51.7949; -33.4199; 507.299; 12
36.6527; -64.9098; 33.4027; 12
21.9993; -79.5632; 18.7493; 12
66.639; 48.264; 66.139; 10
-65.3271; -46.9521; 493.767; 12
-21.7879; -18.5379; 79.7746; 10
-63.5528; -45.1778; 495.541; 12
51.0723; 54.3223; 152.635; 10
-14.9688; -11.7188; 86.5937; 10
-58.4117; -55.1617; 43.1508; 10
13.5401; -88.0224; 10.2901; 12
-93.7373; -75.3623; 465.356; 12
68.457; 50.082; 67.957; 10
-10.0492; -9.54917; 8.32583; 8
-20.97; -17.72; 80.5925; 10
85.3318; -16.2307; 82.0818; 12
45.4544; 48.7044; 147.017; 10
-34.6918; -16.3168; 524.402; 12
14.0888; -87.4737; 10.8388; 12
4.16685; -14.2081; 3.66685; 10
92.2344; -9.32809; 88.9844; 12
68.9068; 50.5318; 68.4068; 10
49.464; 52.714; 151.027; 10
7.93843; -10.4366; 7.43843; 10
17.3502; -84.2123; 14.1002; 12
93.0511; -466.043; 74.6761; 14
21.4068; -80.1557; 18.1568; 12
-44.8002; -26.4252; 514.294; 12
-40.7453; -22.3703; 518.348; 12
-66.9466; -48.5716; 492.147; 12
-96.8727; -78.4977; 462.221; 12
-15.3197; -12.0697; 86.2428; 10
-21.0237; -17.7737; 80.5388; 10
-41.3024; -22.9274; 517.791; 12
-97.184; -78.809; 461.91; 12
-60.2315; -56.9815; 41.331; 10
42.2684; -59.2941; 39.0184; 12
58.0351; 58.5351; 76.4101; 8
21.192; -80.3705; 17.942; 12
85.2602; -16.3023; 82.0102; 12
30.2154; -71.3471; 26.9654; 12
82.9919; -18.5706; 79.7419; 12
70.0077; 51.6327; 69.5077; 10
-10.1099; -9.60987; 8.26513; 8
-80.918; -62.543; 478.176; 12
-25.8363; -22.5863; 75.7262; 10
33.7683; -67.7942; 30.5183; 12
33.1845; -68.378; 29.9345; 12
18.2596; -83.3029; 15.0096; 12
-45.0556; -26.6806; 514.038; 12
12.2487; -89.3138; 8.99868; 12
-23.4146; -20.1646; 78.1479; 10
94.3424; -464.751; 75.9674; 14
69.7828; 51.4078; 69.2828; 10
44.3459; -57.2166; 41.0959; 12
-52.803; -49.553; 48.7595; 10
-48.7863; -30.4113; 510.307; 12
-91.9133; -73.5383; 467.18; 12
42.1326; -59.4299; 38.8826; 12
-77.8218; -59.4468; 481.272; 12
-12.1327; -8.8827; 89.4298; 10
-59.6562; -56.4062; 41.9063; 10
