x; y; f_calls
62.7482; -0,921148; 74
-1.26535e-07; -6,83694e-18; 96
62.7482; -0,921148; 78
4.26913e-07; -3,51208e-18; 86
-5.06432e-08; -7,10587e-18; 82
2.85704e-07; -5,52464e-18; 100
-1.4608e-07; -6,73038e-18; 78
-3.7288e-08; -7,12936e-18; 92
62.7482; -0,921148; 104
-3.11484e-08; -7,13776e-18; 90
-8.33457e-09; -7,15578e-18; 100
-8.42318e-08; -7,01527e-18; 94
62.7482; -0,921148; 90
-1.99631e-07; -6,36011e-18; 100
62.7482; -0,921148; 94
3.22448e-07; -5,07771e-18; 90
2.7973e-07; -5,5922e-18; 90
-1.62353e-07; -6,63e-18; 100
-4.95421e-08; -7,10808e-18; 100
-1.4956e-07; -6,7098e-18; 76
-4.45299e-07; -3,19134e-18; 84
-1.68592e-07; -6,5887e-18; 100
62.7482; -0,921148; 94
-3.26001e-08; -7,13591e-18; 96
4.5412e-08; -7,11592e-18; 100
-2.42287e-07; -5,9831e-18; 90
3.50507e-07; -4,70006e-18; 88
62.7482; -0,921148; 94
-1.64346e-07; -6,61697e-18; 78
62.7482; -0,921148; 84
2.91232e-07; -5,46085e-18; 94
3.68871e-08; -7,12995e-18; 82
3.42053e-08; -7,13377e-18; 100
62.7482; -0,921148; 90
-1.6643e-09; -7,15711e-18; 84
1.35465e-07; -6,79015e-18; 88
3.44429e-07; -4,78455e-18; 100
-1.83886e-07; -6,48088e-18; 96
3.41194e-07; -4,8289e-18; 96
1.85396e-07; -6,46973e-18; 94
-1.79876e-07; -6,51005e-18; 90
62.7482; -0,921148; 76
-2.4264e-07; -5,97968e-18; 96
2.70257e-07; -5,69639e-18; 88
3.78836e-07; -4,28683e-18; 96
62.7482; -0,921148; 82
-3.55029e-08; -7,13196e-18; 84
-1.10356e-07; -6,9136e-18; 96
2.18896e-07; -6,19886e-18; 86
-2.06575e-07; -6,3037e-18; 100
62.7482; -0,921148; 80
2.83546e-07; -5,5492e-18; 82
3.09358e-07; -5,24313e-18; 88
62.7482; -0,921148; 90
62.7482; -0,921148; 84
1.09677e-07; -6,91659e-18; 92
-2.67679e-07; -5,72412e-18; 86
-1.09084e-08; -7,15479e-18; 76
62.7482; -0,921148; 90
62.7482; -0,921148; 80
62.7482; -0,921148; 84
3.07907e-07; -5,26103e-18; 80
-1.68608e-07; -6,58859e-18; 86
62.7482; -0,921148; 90
2.60586e-08; -7,14359e-18; 90
1.41385e-07; -6,75737e-18; 92
1.05689e-07; -6,93377e-18; 92
6.34692e-08; -7,0766e-18; 96
-7.42718e-08; -7,04684e-18; 100
-1.0787e-07; -6,92445e-18; 84
-3.59156e-07; -4,5773e-18; 88
-3.60664e-07; -4,5556e-18; 92
-1.8747e-07; -6,45427e-18; 100
1.90752e-07; -6,42944e-18; 96
2.39983e-07; -6,00533e-18; 94
62.7482; -0,921148; 74
3.34575e-07; -4,91836e-18; 90
62.7482; -0,921148; 90
1.12788e-07; -6,90274e-18; 90
62.7482; -0,921148; 86
62.7482; -0,921148; 80
5.02315e-08; -7,1067e-18; 82
-2.91323e-07; -5,45978e-18; 100
-2.48845e-09; -7,15704e-18; 88
3.21487e-08; -7,1365e-18; 94
-1.85075e-07; -6,47211e-18; 94
1.28232e-07; -6,8283e-18; 86
-1.50627e-07; -6,7034e-18; 92
2.65478e-07; -5,7476e-18; 84
3.95375e-07; -4,03074e-18; 88
62.7482; -0,921148; 94
62.7482; -0,921148; 80
1.31211e-07; -6,81284e-18; 94
-5.79033e-09; -7,1565e-18; 96
2.59526e-07; -5,81009e-18; 96
1.21642e-07; -6,86123e-18; 100
-3.97736e-07; -3,99328e-18; 94
62.7482; -0,921148; 104
1.12498e-07; -6,90405e-18; 82
-3.26792e-07; -5,0213e-18; 96
