x; y; f_calls
77.4897; 0,107866; 58
-2.96041; 0,000175281; 48
65.167; -0,836296; 48
3.16838; 0,000200773; 48
2.73669; 0,000149789; 54
67.2917; -0,648894; 54
62.932; -0,920641; 40
84.3928; 0,147732; 58
1.78427; 6,36722e-05; 48
69.9175; -0,361818; 54
-7.39827; 0,00109469; 54
81.1099; 0,140576; 58
-14.2183; 0,00404321; 58
-7.8991; 0,00124792; 54
-1.29204; 3,33871e-05; 58
-1.91794; 7,35698e-05; 48
65.8352; -0,786159; 48
64.1716; -0,891048; 54
-7.8371; 0,0012284; 54
-3.06995; 0,000188492; 48
-5.34395; 0,000571155; 54
65.2162; -0,832946; 48
-6.16991; 0,000761355; 54
-3.8083; 0,000290063; 58
25.0722; 0,0125728; 58
-29.1194; 0,0169588; 58
-2.75186; 0,000151454; 54
-3.47915; 0,00024209; 54
-20.0985; 0,00807903; 58
68.5578; -0,511545; 54
67.0831; -0,670362; 58
54.6818; -0,293191; 54
-1.30823; 3,42293e-05; 54
-14.9501; 0,00447013; 58
62.7776; -0,921135; 36
60.0289; -0,816297; 48
61.508; -0,898364; 54
1.04028; 2,16438e-05; 48
-11.2676; 0,00253917; 58
-4.27068; 0,000364775; 54
4.71209; 0,000444076; 54
7.23731; 0,00104757; 54
-0.783127; 1,22658e-05; 44
-8.39649; 0,00141002; 58
3.27525; 0,000214545; 54
-18.468; 0,00682131; 58
67.4273; -0,634703; 54
1.66398; 5,53766e-05; 48
-11.3544; 0,00257844; 58
26.3951; 0,0139355; 58
-6.6433; 0,000882668; 54
0.812694; 1,32094e-05; 44
63.115; -0,919128; 48
-1.0436; 2,17822e-05; 54
60.7573; -0,86351; 54
2.37525; 0,000112836; 48
-13.5441; 0,00366885; 58
62.6375; -0,920964; 48
85.7824; 0,15059; 58
60.1497; -0,824956; 54
2.37792; 0,00011309; 48
-2.23841; 0,00010021; 48
55.8722; -0,410378; 54
8.49297; 0,00144261; 54
5.17765; 0,000536161; 54
59.7111; -0,792073; 48
2.32454; 0,000108069; 48
-10.8579; 0,00235786; 58
63.1109; -0,919173; 58
28.0005; 0,0156856; 58
65.359; -0,822901; 54
-3.12193; 0,000194928; 54
1.76858; 6,25578e-05; 48
63.3512; -0,915694; 54
61.7731; -0,906999; 44
64.7292; -0,863533; 54
-5.44217; 0,000592344; 54
65.1315; -0,838678; 48
25.3868; 0,0128904; 58
63.7796; -0,905253; 48
61.7652; -0,90677; 44
64.9754; -0,848796; 48
3.32799; 0,00022151; 54
62.8588; -0,920964; 48
-27.0303; 0,0146127; 58
75.0941; 0,0376826; 58
9.69838; 0,00188117; 54
64.0222; -0,896978; 54
65.8109; -0,788148; 48
59.0975; -0,740032; 54
-0.268629; 1,44323e-06; 54
1.46338; 4,28296e-05; 48
3.61333; 0,000261124; 54
65.9754; -0,774462; 48
9.57789; 0,00183472; 54
27.892; 0,015564; 58
64.1655; -0,891305; 48
7.12219; 0,00101451; 54
71.1424; -0,236666; 54
-26.5628; 0,0141117; 58
