t; FVA; LVA; FVB; LVB; FTB; LTB
0; 5; 5; 1; 1; 20; 20
1; 4.98991; 4.98991; 1.01006; 1.01007; 20.6957; 20.696
2; 4.97983; 4.97982; 1.02007; 1.02008; 21.3703; 21.3709
3; 4.96976; 4.96975; 1.03001; 1.03003; 22.0247; 22.0255
4; 4.9597; 4.95969; 1.0399; 1.03992; 22.6596; 22.6607
5; 4.94966; 4.94963; 1.04972; 1.04975; 23.2759; 23.2772
6; 4.93962; 4.93959; 1.05949; 1.05952; 23.8742; 23.8758
7; 4.92959; 4.92956; 1.0692; 1.06923; 24.4553; 24.4572
8; 4.91957; 4.91954; 1.07886; 1.07889; 25.0199; 25.022
9; 4.90956; 4.90952; 1.08846; 1.0885; 25.5686; 25.5709
10; 4.89957; 4.89952; 1.098; 1.09804; 26.102; 26.1044
11; 4.88958; 4.88953; 1.10748; 1.10753; 26.6207; 26.6233
12; 4.8796; 4.87955; 1.11692; 1.11697; 27.1252; 27.1279
13; 4.86964; 4.86958; 1.12629; 1.12635; 27.616; 27.6189
14; 4.85968; 4.85962; 1.13561; 1.13567; 28.0936; 28.0967
15; 4.84973; 4.84967; 1.14488; 1.14495; 28.5586; 28.5619
16; 4.8398; 4.83973; 1.1541; 1.15416; 29.0113; 29.0147
17; 4.82987; 4.8298; 1.16326; 1.16333; 29.4522; 29.4558
18; 4.81995; 4.81988; 1.17237; 1.17244; 29.8817; 29.8854
19; 4.81005; 4.80997; 1.18143; 1.1815; 30.3002; 30.304
20; 4.80015; 4.80007; 1.19043; 1.19051; 30.7081; 30.712
21; 4.79027; 4.79018; 1.19939; 1.19947; 31.1057; 31.1097
22; 4.78039; 4.7803; 1.20829; 1.20838; 31.4933; 31.4975
23; 4.77053; 4.77043; 1.21714; 1.21724; 31.8714; 31.8756
24; 4.76067; 4.76057; 1.22594; 1.22604; 32.2401; 32.2445
25; 4.75083; 4.75072; 1.2347; 1.2348; 32.5999; 32.6044
26; 4.74099; 4.74088; 1.2434; 1.24351; 32.951; 32.9555
27; 4.73117; 4.73105; 1.25205; 1.25216; 33.2937; 33.2983
28; 4.72135; 4.72123; 1.26066; 1.26077; 33.6282; 33.6329
29; 4.71155; 4.71143; 1.26922; 1.26933; 33.9548; 33.9596
30; 4.70176; 4.70163; 1.27773; 1.27785; 34.2737; 34.2786
31; 4.69197; 4.69184; 1.28619; 1.28631; 34.5853; 34.5902
32; 4.6822; 4.68206; 1.2946; 1.29473; 34.8896; 34.8946
33; 4.67244; 4.6723; 1.30297; 1.3031; 35.187; 35.1921
34; 4.66268; 4.66254; 1.31129; 1.31142; 35.4776; 35.4827
35; 4.65294; 4.65279; 1.31956; 1.3197; 35.7616; 35.7668
36; 4.64321; 4.64305; 1.32779; 1.32793; 36.0392; 36.0445
37; 4.63349; 4.63333; 1.33597; 1.33611; 36.3107; 36.316
38; 4.62377; 4.62361; 1.34411; 1.34425; 36.5762; 36.5815
39; 4.61407; 4.61391; 1.3522; 1.35235; 36.8358; 36.8412
40; 4.60438; 4.60421; 1.36024; 1.3604; 37.0897; 37.0952
41; 4.5947; 4.59452; 1.36825; 1.3684; 37.3381; 37.3437
42; 4.58503; 4.58485; 1.3762; 1.37636; 37.5812; 37.5868
43; 4.57537; 4.57518; 1.38412; 1.38428; 37.819; 37.8247
44; 4.56571; 4.56553; 1.39199; 1.39215; 38.0518; 38.0575
45; 4.55607; 4.55588; 1.39981; 1.39998; 38.2797; 38.2854
46; 4.54644; 4.54625; 1.40759; 1.40777; 38.5027; 38.5085
47; 4.53682; 4.53662; 1.41533; 1.41551; 38.7211; 38.7269
48; 4.52721; 4.52701; 1.42303; 1.42321; 38.935; 38.9408
49; 4.51761; 4.51741; 1.43069; 1.43087; 39.1444; 39.1503
50; 4.50802; 4.50781; 1.4383; 1.43849; 39.3495; 39.3554
51; 4.49844; 4.49823; 1.44587; 1.44606; 39.5505; 39.5564
52; 4.48887; 4.48866; 1.4534; 1.45359; 39.7473; 39.7532
53; 4.47931; 4.47909; 1.46089; 1.46108; 39.9402; 39.9461
54; 4.46976; 4.46954; 1.46833; 1.46854; 40.1291; 40.1351
55; 4.46023; 4.46; 1.47574; 1.47594; 40.3143; 40.3204
56; 4.4507; 4.45046; 1.48311; 1.48331; 40.4958; 40.5019
57; 4.44118; 4.44094; 1.49043; 1.49064; 40.6737; 40.6798
58; 4.43167; 4.43143; 1.49772; 1.49793; 40.8481; 40.8543
59; 4.42217; 4.42193; 1.50496; 1.50518; 41.0191; 41.0253
60; 4.41268; 4.41243; 1.51217; 1.51239; 41.1868; 41.1929
61; 4.40321; 4.40295; 1.51933; 1.51956; 41.3512; 41.3573
62; 4.39374; 4.39348; 1.52646; 1.52669; 41.5124; 41.5186
63; 4.38428; 4.38402; 1.53355; 1.53378; 41.6705; 41.6767
