x; y; f_calls
1.24339e-10; -7,15717e-18; 16
7.37034e-13; -7,15717e-18; 24
2.98414e-13; -7,15717e-18; 16
62.7482; -0,921148; 24
4.6869e-12; -7,15717e-18; 16
7.79992e-13; -7,15717e-18; 24
3.17577e-13; -7,15717e-18; 24
3.95988e-11; -7,15717e-18; 24
1.73047e-11; -7,15717e-18; 16
62.7482; -0,921148; 40
2.28518e-13; -7,15717e-18; 16
9.62748e-13; -7,15717e-18; 32
62.7482; -0,921148; 32
2.83455e-13; -7,15717e-18; 16
62.7482; -0,921148; 56
62.7482; -0,921148; 40
2.28879e-13; -7,15717e-18; 16
9.19206e-13; -7,15717e-18; 24
62.7482; -0,921148; 40
62.7481; -0,921148; 40
62.7484; -0,921148; 40
2.34844e-13; -7,15717e-18; 16
62.7482; -0,921148; 32
7.00696e-13; -7,15717e-18; 16
4.43741e-11; -7,15717e-18; 16
2.66529e-13; -7,15717e-18; 16
2.32922e-13; -7,15717e-18; 24
62.7482; -0,921148; 40
9.13764e-10; -7,15715e-18; 16
-8.81344e-06; 1,54638e-15; 40
-7.59261e-08; -7,04187e-18; 16
-5.98167e-07; -1,09209e-21; 40
1.98361e-10; -7,15717e-18; 16
4.2176e-12; -7,15717e-18; 16
1.71721e-09; -7,15711e-18; 16
1.33789e-12; -7,15717e-18; 24
2.54759e-13; -7,15717e-18; 16
62.7482; -0,921148; 40
-4.41933e-07; -3,25107e-18; 16
62.7482; -0,921148; 40
5.66147e-11; -7,15717e-18; 24
62.7482; -0,921148; 56
-1.45456e-06; 3,51579e-17; 16
3.48504e-12; -7,15717e-18; 24
2.30204e-13; -7,15717e-18; 16
9.50758e-11; -7,15717e-18; 16
62.7482; -0,921148; 64
9.37751e-13; -7,15717e-18; 16
6.89697e-11; -7,15717e-18; 16
2.30738e-13; -7,15717e-18; 24
4.68277e-13; -7,15717e-18; 24
2.26481e-13; -7,15717e-18; 16
62.7482; -0,921148; 40
3.54552e-13; -7,15717e-18; 16
62.7482; -0,921148; 48
1.07888e-11; -7,15717e-18; 24
62.7482; -0,921148; 32
1.36965e-09; -7,15713e-18; 16
62.7482; -0,921148; 40
2.24849e-13; -7,15717e-18; 24
2.02447e-12; -7,15717e-18; 24
6.46222e-10; -7,15716e-18; 16
5.08485e-13; -7,15717e-18; 16
62.7482; -0,921148; 40
5.67865e-10; -7,15716e-18; 16
62.7482; -0,921148; 56
1.64825e-12; -7,15717e-18; 24
62.7482; -0,921148; 56
3.72365e-12; -7,15717e-18; 16
3.63794e-10; -7,15716e-18; 16
2.83171e-13; -7,15717e-18; 16
62.7482; -0,921148; 56
3.16287e-13; -7,15717e-18; 16
5.26631e-09; -7,15661e-18; 16
62.7481; -0,921148; 56
3.53272e-12; -7,15717e-18; 16
62.7482; -0,921148; 64
62.7482; -0,921148; 56
8.67821e-10; -7,15715e-18; 16
2.3729e-13; -7,15717e-18; 16
3.04181e-13; -7,15717e-18; 16
1.92635e-12; -7,15717e-18; 24
3.30996e-12; -7,15717e-18; 16
5.26005e-13; -7,15717e-18; 16
62.7482; -0,921148; 40
-4.30636e-07; -3,44821e-18; 40
5.35346e-13; -7,15717e-18; 16
-3.37593e-07; -4,87778e-18; 40
-1.49965e-06; 3,78216e-17; 32
62.7482; -0,921148; 48
1.33711e-09; -7,15713e-18; 16
62.7482; -0,921148; 40
62.7482; -0,921148; 40
1.25781e-12; -7,15717e-18; 24
2.35158e-13; -7,15717e-18; 24
62.7482; -0,921148; 24
62.7482; -0,921148; 40
62.7482; -0,921148; 56
4.65184e-13; -7,15717e-18; 16
2.34329e-13; -7,15717e-18; 16
