x; y; f_calls
-1.86202e-05; 6,92709e-15; 72
1.12051e-12; -7,15717e-18; 16
nan; -nan(ind); 6
1.08814e-11; -7,15717e-18; 16
3.31913e-11; -7,15717e-18; 24
62.7482; -0,921148; 72
62.7482; -0,921148; 32
62.7482; -0,921148; 80
1.98512e-11; -7,15717e-18; 16
nan; -nan(ind); 6
2.28272e-13; -7,15717e-18; 24
62.7482; -0,921148; 88
-2.09939e-12; -7,15717e-18; 24
2.53063e-10; -7,15716e-18; 16
-1.69626e-06; 5,03887e-17; 32
2.31466e-12; -7,15717e-18; 16
62.7482; -0,921148; 40
62.7482; -0,921148; 72
2.26697e-13; -7,15717e-18; 24
2.73481e-13; -7,15717e-18; 16
1.65599e-09; -7,15711e-18; 16
62.7482; -0,921148; 48
9.36106e-10; -7,15715e-18; 16
-4.93868e-08; -7,10838e-18; 32
-1.56818e-07; -6,66533e-18; 24
-1.05861e-05; 2,23415e-15; 16
6.3307e-09; -7,15636e-18; 16
4.83173e-09; -7,1567e-18; 16
4.6159e-12; -7,15717e-18; 24
nan; -nan(ind); 6
-3.81064e-05; 2,90348e-14; 48
nan; -nan(ind); 6
5.21433e-12; -7,15717e-18; 24
-4.01114e-13; -7,15717e-18; 24
62.7482; -0,921148; 24
62.7482; -0,921148; 40
62.7482; -0,921148; 72
4.11498e-12; -7,15717e-18; 16
-3.01925e-06; 1,7516e-16; 16
4.12776e-13; -7,15717e-18; 24
-4.57602e-06; 4,11643e-16; 16
-2.32273e-05; 1,0783e-14; 16
2.56936e-13; -7,15717e-18; 16
-4.50959e-05; 4,06657e-14; 16
2.26253e-13; -7,15717e-18; 24
4.62752e-12; -7,15717e-18; 24
62.7482; -0,921148; 72
1.9143e-11; -7,15717e-18; 16
-2.75894e-06; 1,45078e-16; 16
1.81689e-11; -7,15717e-18; 24
2.34315e-13; -7,15717e-18; 24
4.01438e-13; -7,15717e-18; 16
62.7482; -0,921148; 40
6.67107e-12; -7,15717e-18; 24
62.7482; -0,921148; 64
9.68928e-12; -7,15717e-18; 16
-3.66604e-12; -7,15717e-18; 24
62.7482; -0,921148; 56
62.7482; -0,921148; 72
62.7482; -0,921148; 72
2.1443e-11; -7,15717e-18; 16
1.84994e-12; -7,15717e-18; 16
nan; -nan(ind); 6
-7.47287e-09; -7,15605e-18; 24
2.79747e-13; -7,15717e-18; 24
62.7482; -0,921148; 32
2.14959e-11; -7,15717e-18; 16
-4.58272e-06; 4,1287e-16; 16
-4.03283e-05; 3,25203e-14; 32
62.7482; -0,921148; 80
62.7482; -0,921148; 72
9.46384e-13; -7,15717e-18; 24
6.66376e-12; -7,15717e-18; 16
62.7482; -0,921148; 64
62.7482; -0,921148; 40
62.7482; -0,921148; 72
2.69283e-13; -7,15717e-18; 24
nan; -nan(ind); 6
62.7482; -0,921148; 80
62.7482; -0,921148; 48
62.7482; -0,921148; 32
nan; -nan(ind); 6
2.2713e-13; -7,15717e-18; 24
62.7482; -0,921148; 40
-6.84867e-05; 9,38014e-14; 16
-5.06451e-05; 5,12913e-14; 96
-4.03808e-08; -7,12455e-18; 24
62.7482; -0,921148; 72
62.7482; -0,921148; 40
nan; -nan(ind); 6
1.31959e-11; -7,15717e-18; 24
1.78301e-11; -7,15717e-18; 16
-1.88658e-06; 6,40263e-17; 16
62.7482; -0,921148; 40
2.73084e-13; -7,15717e-18; 24
2.29202e-13; -7,15717e-18; 32
62.7482; -0,921148; 56
-2.1897e-05; 9,58239e-15; 16
nan; -nan(ind); 6
-0.00010129; 2,05185e-13; 16
